text,clean_text,sentiment
BEST WORK OF BODYSHOP IN #BINDALHYUNDAIRUDRAPUR,best work of bodyshop in,positive
@BCCI @imVkohli @HyundaiIndia Will he get that car? 🤔,will he get that car? 🤔,neutral
"You can contact me on m. 9825648788
kishankutana1991@gmail.com",you can contact me on m.,neutral
"@Dream11 
Thanks for solve my issue",thanks for solve my issue,positive
@ICT_SRHFAN @Dream11 Eroju ey team peduthunav?,eroju ey team peduthunav?,neutral
"@hyundaiindai
Shivnath service excellent",shivnath service excellent,positive
"@punjhyundai hamirpur 
Excellent service",hamirpur excellent service,positive
@Dream11 2817835 this is my query number https://t.co/m1gAcs1Jqy,10 this is my query number,neutral
@Vishal_Fantasy @Dream11 @oyepick @CricInformer Cheated Cheaply I too lost,cheated cheaply i too lost,negative
I get this isssie every time https://t.co/Hu7ZJlCujs,i get this issue every time,neutral
RT @deepaks91779493: @bandhanbank_in not fallowing @RBI guidelines @PMOIndia @indSupremeCourt @UNHumanRights @ALLINDIAHUMANR1 @MPPoliceOnline @NDTVPrimeTime @ravishndtv @RahulGandhi @BBCBreaking @AnilSinghvi_ @FinMinIndia @consaff @jagograhakjago @MSJEGOI @India_NHRC @ZeeBusiness @RajThackeray https://t.co/3TgCSMpRm8,rt not fallowing guidelines,neutral
For teams contact 7352350870 Whats up,for teams contact what is up,neutral
@harivyoma We always use Groundnut oil!,we always use groundnut oil!,neutral
"@anyoneraja
Join for free teams dream11",join for free teams dream 10,neutral
"#BANDHANBANK 
#CHARTATTACHED https://t.co/efUr8UqIT3",band han bank chart attached,neutral
"@Dream11 @NBA advrajupatil300@gmail.com
Please provide me free entry",please provide me free entry,neutral
"My WhatsApp and mobile number
+966536213834",my whatsapp and mobile number,neutral
@Kali_dream11 Ok I think I need Tik tok now,ok i think i need tik tok now,neutral
SK vs NZB Dream11 Prediction https://t.co/X04s1PRmAs,sk vs nzb dream 10 prediction,neutral
Worst customer service & support,worst customer service support,negative
Hai sir i want porsnal loan 500000,hai sir i want porsnal loan 10,neutral
Bro Plse post the Team Early 🙏,bro plse post the team early 🙏,neutral
Third class app. All are fraud.,third class app. all are fraud.,negative
Very nice and the nice lone app,very nice and the nice lone app,positive
Good service dream hyundai GZB.,good service dream hyundai gzb.,positive
"Thank you 
Hope for the positive",thank you hope for the positive,positive
Yuvraj+Irfan+jaysurya Around- 165,yuvraj irfan jaysurya around 10,neutral
Dream11 yes query number is - #2810605,dream 10 yes query number is 10,neutral
@hyundaiindai very good service I m satisfied,very good service i m satisfied,positive
"@bandhanbank_in @JAYMISHRA9956 Sir, Please solve this problem.","sir, please solve this problem.",neutral
@Sanitizer02 @klrahul11 @BCCI @Dream11 He is not more fearless now yrr,he is not more fearless now yrr,neutral
It's good for me.. Very helpful,it is good for me.. very helpful,positive
I have 2 acre land near bagalur,i have 10 acre land near bagalur,neutral
Grand I10 nios CNG price onroad,grand i 10 nios cng price onroad,neutral
Member r increasing in telegram.,member r increasing in telegram.,neutral
Irfans Junior version is afrah🤣,irfans junior version is afrah🤣,neutral
Today good service Hisar Hyundai,today good service hisar hyundai,positive
@Dream11 today's psl contest is not looking,today psl contest is not looking,negative
@shaidhope Nee valla Dream 11 contest bokka,nee valla dream 10 contest bokka,neutral
"Posted by isalvag...@isalvageauction.com, Mar 14, 2021 4:08 AM","posted by , mar 10 , 10 10 10 am",neutral
@rtiwalaofficial @Dream11 @RTIwala Thats sounds good. Thank you..,that is sounds good. thank you..,positive
Good experience this aap for ever,good experience this aap for ever,positive
New technologies new handicaps 😂,new technologies new handicaps 😂,neutral
Always cancelled loan application,always cancelled loan application,negative
Very worst app sudnly not open it,very worst app sudnly not open it,negative
@BCCI @Paytm My captain of dream 11 team 😂👏❤,my captain of dream 10 team 😂👏❤,positive
i20 @ Abhishek Automotives Pvt Ltd https://t.co/3nNdhbsFua,i 10 abhishek automotives pvt ltd,neutral
Such a shameful @RBI @nsitharamanoffc @nsitharaman @FinMinIndia penalize the @rblbank Bank,such a shameful penalize the bank,negative
Any 7 seater available at Hyundai,any 10 seater available at hyundai,neutral
Princy Yes 👍....it's comfortable,princy yes 👍....it is comfortable,positive
Your all customers data is on risk,your all customers data is on risk,negative
I am waiting for your cooking nana,i am waiting for your cooking nana,neutral
This is something truly incredible,this is something truly incredible,positive
I want to know about personal loan,i want to know about personal loan,neutral
West Bengal dakshin Dinajpur theke,west bengal dakshin dinajpur theke,neutral
Chaudhary Hyundai bijnor good work,chaudhary hyundai bijnor good work,positive
@Dream11 Thanks @dream11 for providing me free entry,thanks for providing me free entry,positive
Kinsfolk Pomace Olive Oil – 5 Litre https://t.co/3Mo7xxOZ01,kinsfolk pomace olive oil 10 litre,neutral
@MichaelVaughan Normal day at @Dream11 cricket matches 🤣🤣,normal day at cricket matches 🤣🤣,neutral
@HyundaiIndia Hope good response come today from @HyundaiIndia,hope good response come today from,positive
From the vaccination drive held at @WTCBengaluru https://t.co/LHGRRQ421a,from the vaccination drive held at,neutral
You in the third row is Doug DeMuro,you in the third row is doug demuro,neutral
Same as mine please refund my money,same as mine please refund my money,negative
Very perfect explain playing 👍👍👍,very perfect explain playing 👍👍👍,positive
I want Emi montarium lock down here,i want emi montarium lock down here,neutral
"Great preview!
Big fan brother 😉🐐",great preview! big fan brother 😉🐐,positive
V good I use since last three years,v good i use since last three years,positive
"8957830729 my no call me please
Good night sir",my no call me please good night sir,neutral
@suhail53991142 @Dream11 @Dream11 worst Grand leagues in Football....,worst grand leagues in football....,negative
@GaneshDhanapun1 @Dream11 @deep @mayyuu007 @ganesh_G30 @JimmyParmar16 @arjunkumar318 @VishePrathamesh @Candy24162 @Erjaivin @AJ_WhiteWolf @SandyNagwekar Bro any kudous prime group is there,bro any kudous prime group is there,neutral
Bhai where u the give the team plz,bhai where you the give the team plz,neutral
tnq u so much but intrest was more,tnq you so much but intrest was more,positive
Can I get top up for my current loan,can i get top up for my current loan,neutral
Your service sucks big time for sure,your service sucks big time for sure,negative
Is it apartment or individual house?,is it apartment or individual house?,neutral
what can we expect from this zones ?,what can we expect from this zones ?,neutral
Good response in GT Hyundai dindigul,good response in gt hyundai dindigul,positive
Nice service and good behavior staff,nice service and good behavior staff,positive
@hyundaiindia shine Hyundai is good service centre,shine hyundai is good service centre,positive
"@Consume53761904 @HyundaiIndia @Hyundai_Global @Hyundai_UK_PR @Hyundai @jagograhakjago @nitin_gadkari @ABPNews @CNN Hi @consume53761904, we are not aware of any issues.","hi , we are not aware of any issues.",neutral
Dear sir how many interast tellme plz,dear sir how many interast tellme plz,neutral
can this product be use inside vagina,can this product be use inside vagina,neutral
Service not available in this area 😔,service not available in this area 😔,negative
Great service by ujjwal Hyundai ambad,great service by ujjwal hyundai ambad,positive
Very good experience 👍👍 Love it🙏🙏,very good experience 👍👍 love it🙏🙏,positive
@hyundai india good service by triumph hyundai,india good service by triumph hyundai,positive
Good service 👍 @Chittor Hyundai Hyundai India,good service 👍 hyundai hyundai india,positive
"RT @vikingorbust: Rw bodybuilder twitter right again 
https://t.co/lKqouvCaSJ",rt rw bodybuilder twitter right again,neutral
"@FortuneFoods @AdaniOnline @gautam_adani 
Very Poor Consumer Service.
Pathetic!",very poor consumer service. pathetic!,negative
"RT @Abhiman34139889: @aajtak @IndiaToday 
@Dream11 this is totally fake
#fakedream11 https://t.co/8TUzOA3duO",rt this is totally fake fake dream 10,negative
"@BCCI @Virat_Official @imVkohli @HyundaiIndia Watch kohli best finishing shots here 

https://t.co/w5A5sjoNYe",watch kohli best finishing shots here,positive
Dhokla doesn’t go well with olive oil,dhokla does not go well with olive oil,neutral
I'm satisfied Deep Hyundai mangolpuri,i am satisfied deep hyundai mangolpuri,positive
Tataji services done excellent service,tataji services done excellent service,positive
Is there such a thing as a detox diet?,is there such a thing as a detox diet?,neutral
Do you have any clinic in nawada bihar,do you have any clinic in nawada bihar,neutral
Good work 👌👌👌👌👌👌👌👌👌👌👌👌👌👌,good work 👌👌👌👌👌👌👌👌👌👌👌👌👌👌,positive
sir ami Bandhan bank a join korte chai,sir ami bandhan bank a join korte chai,neutral
Good service at kunnhyundai karmanghat,good service at kunnhyundai karmanghat,positive
Satisfied with Hans Hyundai Moti Nagar,satisfied with hans hyundai moti nagar,positive
"#HyundaiIndia#AnkitHyundai
Good.......",hyundai indiaankit hyundai good.......,neutral
@imVkohli please give me this car as a gift 😍😉,please give me this car as a gift 😍😉,positive
Hyundai India You can reach me at 9512009016 also,hyundai india you can reach me at also,neutral
@jokervsbatman7 @Dream11 Yes you ryt bro dream11 is a fake app,yes you ryt bro dream 10 is a fake app,negative
India (IND) Vs England (ENG) On Dream11. https://t.co/NPj3eZBV3L,india ind vs england eng on dream 10 .,neutral
"@mazherr Lol invested in Dream 11

Where is Aubamablootclanyeng & Pepe",lol invested in dream 10 where is pepe,neutral
"RT @thekaipullai: One more ""SUV"" with the i20 engine.. https://t.co/x9wsjBUECN",rt one more suv with the i 10 engine..,neutral
It's asking OTP number.its not getting,it is asking otp number.its not getting,negative
Good service lr hyundai Kaithal Haryana,good service lr hyundai kaithal haryana,positive
LIO VS PAN -- KODAK KERALA T20 PREDICTION,lio vs pan kodak kerala t 10 prediction,neutral
@ i visit aryan hyundai very nice service,i visit aryan hyundai very nice service,positive
Aise clean sweep cahiye to WhatsApp msg 8975016623,aise clean sweep cahiye to whatsapp msg,neutral
"Worst services
9876412967
Extra charges on my loan",worst services extra charges on my loan,negative
LIO vs TUS Dream11 Prediction | Match 15 https://t.co/x5T5pyynkq,lio vs tus dream 10 prediction match 10,neutral
i want to join bandhan bank i m h.s pass,i want to join bandhan bank i m h.s pass,neutral
Hans hyundai Badli great service centre.,hans hyundai badli great service centre.,positive
nice better the app use full home credit,nice better the app use full home credit,positive
great service by Hans Hyundai moti nagar,great service by hans hyundai moti nagar,positive
Iam totally satisfied anakapalle service,iam totally satisfied anakapalle service,positive
Excellent service fortune hyundai india.,excellent service fortune hyundai india.,positive
Good app.but rate of interest is higher.,good app.but rate of interest is higher.,neutral
GT Hyundai Palani good service& satisfied,gt hyundai palani good service satisfied,positive
@hyundai India kusalava Hyundai service very good,india kusalava hyundai service very good,positive
"@cinnabar_dust Ghee or mustard oil, occasionally sesame","ghee or mustard oil, occasionally sesame",neutral
@bandhanbank_in I am very good response to Bandhan Bank.,i am very good response to bandhan bank.,positive
Staff behaviour so good and service good## samudrahyundaimeerut,staff behaviour so good and service good,positive
Please give kanpur address and contect no,please give kanpur address and contect no,neutral
How to invest in this match peeyush sirji,how to invest in this match peeyush sirji,neutral
They are like rebbers in banking business,they are like rebbers in banking business,neutral
Home Credit is best app for any type loan,home credit is best app for any type loan,positive
You look natural and gorgeous! 💞💞💞💞💞,you look natural and gorgeous! 💞💞💞💞💞,positive
Yoga for heel pain (plantar fascittis)????,yoga for heel pain plantar fascittis ????,neutral
Mustard oil gone 190 rupey per litter why?,mustard oil gone 10 rupey per litter why?,negative
@hyundaiindia excellent service from crosaland hyundai.,excellent service from crosaland hyundai.,positive
@bandhanbank_in i can't transfer fund help me urgently. https://t.co/mthwvA3tEm,i can not transfer fund help me urgently.,negative
I'm interested to work with #bandhanbank,i am interested to work with band han bank,positive
Who click this video for see this girl😉😂,who click this video for see this girl😉😂,neutral
Good sonu very good service and pl hyundai,good sonu very good service and pl hyundai,positive
Yes panchkarma is very very good treatment,yes panchkarma is very very good treatment,positive
Do vedios with afra like last lockdown ...,do vedios with afra like last lockdown ...,neutral
I m fully satisfied by Orion hyundai hansi,i m fully satisfied by orion hyundai hansi,positive
Sir. Home. Credit. Watsap.no.dakument.sent...thanks,sir. home. credit. .dakument.sent...thanks,neutral
"@Dream11 Already told you so many times on this,,,,","already told you so many times on this,,,,",neutral
@EconomicTimes @HyundaiIndia You guys need to fire the script writer...,you guys need to fire the script writer...,negative
RT @MUTHAMI60267213: @Dream11 @NBA My ticket number 2844554 resolved my problem,rt my ticket number 10 resolved my problem,neutral
excellent service at panna hyundai Agartala,excellent service at panna hyundai agartala,positive
Mai Hyundai sangli service is good.best ok.,mai hyundai sangli service is good.best ok.,positive
No one can stop an idea whose time has come,no one can stop an idea whose time has come,neutral
Excellent work in capital Hyundai sector 83,excellent work in capital hyundai sector 10,positive
Excellent service at Saini Hyundai Mominpur,excellent service at saini hyundai mominpur,positive
Good service in aradhana hyundai saharanpur,good service in aradhana hyundai saharanpur,positive
My dream 11 acount automatically money loss,my dream 10 acount automatically money loss,negative
Vl lgil dada...emn sohoj horol ma deuta...❤,vl lgil dada...emn sohoj horol ma deuta...❤,positive
"Fortune Sunlite Refined Sunflower Oil, 1L https://t.co/VYlRiEWLLS","fortune sunlite refined sunflower oil, 10 l",neutral
"HEALTH 1st Cold Pressed Castor Oil, 200 ml https://t.co/twAXhGb1mz","health 10 st cold pressed castor oil, 10 ml",neutral
"Down payment 50,000 kattuna car kudupegalla","down payment 10 , 10 kattuna car kudupegalla",neutral
Sir i am suffering in anxiety and depression,sir i am suffering in anxiety and depression,negative
Good service provide by joshi hyundai mohali,good service provide by joshi hyundai mohali,positive
very good service at sunrise hyundai IP extn,very good service at sunrise hyundai ip extn,positive
Saini Hyundai Mominpur provides good service,saini hyundai mominpur provides good service,positive
"Tendulkar 
Tharanga
Sahwag
=220 point around 🤗",tendulkar tharanga sahwag 10 point around 🤗,neutral
"Dream11 game changer @ImRo45
#RohitSharma #INDvENG",dream 10 game changer rohit sharma ind ven g,neutral
"#IPL2021_Update 
#IPL 
#vivoipl 
#Dream11 
#csk 
#FP4F",ipl 10 update ipl vivo ipl dream 10 csk 10 f,neutral
"@HyundaiIndia
I'm satisfied with hyundai customer service",i am satisfied with hyundai customer service,positive
@Dream11 @NBA Change football grand league prize structure,change football grand league prize structure,neutral
@Dream11 please this one update Sir my request 🙏🙏🙏 https://t.co/eP9298H9s2,please this one update sir my request 🙏🙏🙏,neutral
Must follow for best teams #Dream11 #fantacy,must follow for best teams dream 10 fan tac y,positive
Tmmrw on vijay tv.....neeya nana 😘😂😂❤️😍😳,tmmrw on vijay tv.....neeya nana 😘😂😂❤️😍😳,positive
Yes a very good question on detoxification 👍,yes a very good question on detoxification 👍,positive
Excellent 👍 service sunrise hyundai i.p extn,excellent 👍 service sunrise hyundai i.p extn,positive
Out form virat kohli is man of the series 😂⚡,out form virat kohli is man of the series 😂⚡,positive
"Not good app, every time I reinstall ittu use","not good app, every time i reinstall ittu use",negative
Other wise we will complain on consumer court,other wise we will complain on consumer court,negative
Still no reply really very pathetic service …,still no reply really very pathetic service …,negative
"@ramyakannan Pori yaa. With mustard oil, onions and kaaram","pori yaa. with mustard oil, onions and kaaram",neutral
"@hyundaiindai,DPG hyundai very good service and good staff",",dpg hyundai very good service and good staff",positive
Maxcare Virgin Coconut Oil (Cold Pressed) 500ML https://t.co/YRYSdDXmDI,maxcare virgin coconut oil cold pressed 10 ml,neutral
Thanks again for helping me in the right time.,thanks again for helping me in the right time.,positive
excellent service done by samta hyundai karnal,excellent service done by samta hyundai karnal,positive
The Oil sold on @JioMart is the key to my family's health,the oil sold on is the key to my family health,positive
"@Dream11 Thanks for added in the app 

Really appreciated",thanks for added in the app really appreciated,positive
@Dream11 @NBA Hey where is quiz coupen? Fake this compition?,hey where is quiz coupen? fake this compition?,neutral
"https://t.co/QGscQZWOOn

#dream11Prediction #dream11 #Cricket #MatchDay",dream 10 prediction dream 10 cricket match day,neutral
@EconomicTimes @HyundaiIndia Poorly scripted and delivered like a monologue,poorly scripted and delivered like a monologue,negative
Please manufacture 72x30 single mattress also,please manufacture 10 x 10 single mattress also,neutral
Yes Team I've Received It 😍 Big Thank You 😊,yes team i have received it 😍 big thank you 😊,positive
Hyundai India Excellent service by A 1 hyundai,hyundai india excellent service by a 10 hyundai,positive
Affle India share ko analysis me include Karen.,affle india share ko analysis me include karen.,neutral
Is this programme open now? Or totally closed ?,is this programme open now? or totally closed ?,neutral
Great video. Makes sense buy micro finance now.,great video. makes sense buy micro finance now.,positive
Very good service Chittor Hyundai Hyundai India,very good service chittor hyundai hyundai india,positive
Excellent service by Chandra Hyundai Pollachi.!,excellent service by chandra hyundai pollachi.!,positive
Hyundai India excellent service at samta ambala,hyundai india excellent service at samta ambala,positive
@hyundaiindia hindustan hyundai jhotwara jaipur good workshop,hindustan hyundai jhotwara jaipur good workshop,positive
"Hyundai India
Great work PR Hyundai joggers park",hyundai india great work pr hyundai joggers park,positive
Jiva doctors are just fraud and they donot treat,jiva doctors are just fraud and they donot treat,negative
Afra romba cute avala vachu neraya vedio podunga,afra romba cute avala vachu neraya vedio podunga,neutral
App not working properly.. I really disappointed,app not working properly.. i really disappointed,negative
wow? this is actually a really good decision ???,wow? this is actually a really good decision ???,positive
{ Life is movement.....Movement is life } 🚶‍♂️🏃‍♂️,life is movement.....movement is life 🚶‍♂️🏃‍♂️,neutral
"Very good service at hemkund Hyundai 
@HyundaiIndia
#HyundaiLcm",very good service at hemkund hyundai hyundai lcm,positive
KCA Royals (ROY) Vs KCA Panthers (PAN) On Dream11. https://t.co/up2wMK6vq6,kca royals roy vs kca panthers pan on dream 10 .,neutral
"RT @DipakPa32364580: @dream11 problem in application, please do the needful","rt problem in application, please do the needful",negative
GUD vs AME Dream11 Prediction | Mexican League 2021 https://t.co/CqZ4eaXbKB,gud vs ame dream 10 prediction mexican league 10,neutral
RT @pinakisaha: After cooking with rs 200 / litre mustard oil... https://t.co/9NoYZL0paR,rt after cooking with rs 10 litre mustard oil...,neutral
"Do you have spring mattress? 
6 inches 6.5/5",do you have spring mattress? 10 inches 10 . 10 10,neutral
bound to say that your whole department are fraud,bound to say that your whole department are fraud,negative
Hyundai India novelty hyundai fgc service is Good,hyundai india novelty hyundai fgc service is good,positive
Excellent service at frontier hyundai tilak nagar,excellent service at frontier hyundai tilak nagar,positive
Excellent service by triumph Hyundai in faridabad,excellent service by triumph hyundai in faridabad,positive
Best service given by Lakshmi Hyundai Rajahmundry,best service given by lakshmi hyundai rajahmundry,positive
#india Shirode hyundai Sangamner excellent service,india shirode hyundai sangamner excellent service,positive
Only updates & app not properly work only buffering,only updates app not properly work only buffering,negative
#arora hyundai is the best service center good team work,hyundai is the best service center good team work,positive
@dcfrombc The Bangali horror with mustard oil and chillies?,the bangali horror with mustard oil and chillies?,neutral
"Rcb will win Today ❤ and again top in Point Table

#RCBvKKR",rcb will win today ❤ and again top in point table,positive
#football #turkishsuperliga #Dream11 #myriskyteam,football turkish super liga dream 10 my risky team,neutral
Iam so happy from ketan motors chandrapur service.,iam so happy from ketan motors chandrapur service.,positive
Hyundai India super service Shiva Hyundai Azamgarh,hyundai india super service shiva hyundai azamgarh,neutral
"Bro,ppe kit la nenga konjam lean na theriyurenga🌟","bro,ppe kit la nenga konjam lean na theriyurenga🌟",neutral
Good and super experience in vtj hyundai kundanoor,good and super experience in vtj hyundai kundanoor,positive
Hyundai India excellent service by triumph Hyundai,hyundai india excellent service by triumph hyundai,positive
"Hyundai India 
Novelty Hyundai court road 
Good work",hyundai india novelty hyundai court road good work,positive
I had a good experiences with Jain's hyundai Vellore,i had a good experiences with jain hyundai vellore,positive
"@Dream11 Thank u sir, for refund my money... thanks a lot","thank you sir, for refund my money... thanks a lot",positive
"@narendramodi ⛽ Rs 100
Mustard oil:Rs200
Salary half naukri saafe",⛽ rs 10 mustard oil rs 10 salary half naukri saafe,negative
@AkshatJ95015583 @Dream11 @FanCode Please add good GL day by day dream11 going worst,please add good gl day by day dream 10 going worst,negative
"Rexona Coconut & Olive Oil Soap (8 x 150 g) at Rs 280.

https://t.co/OISuUxwT69 https://t.co/BdXtuRbNqq",rexona coconut olive oil soap 10 x 10 g at rs 10 .,neutral
"RT @Irfan98912607: #AfgvsZim test match O
ULTRA CLEAN SWEEP 🔥🔥🔥
@BKodidhala @D11Alex005 @FantasycricPro @MathanMaddy12 @Dream11 @Anurag_Cricket @cric11forecast @Dream11_FCG @pritamgarv @CricInformer @SandyNagwekar @arsukh1984 @drshahzadkassar @Pratham40316723 @ABHISHEKNISHAD @gurjaromendra https://t.co/IB9sII9n52",rt afgvs zim test match o ultra clean sweep 🔥🔥🔥,neutral
Took all my documents and didn't approve loan fake,took all my documents and did not approve loan fake,negative
Hyundai India best working pR Hyundai jogger’s park,hyundai india best working pr hyundai jogger s park,positive
"SS Hyundai Chennganur, very good service and staff.","ss hyundai chennganur, very good service and staff.",positive
Hyundai India best service in sant hyundai palampur,hyundai india best service in sant hyundai palampur,positive
Gt hyundai Dindigul service good keep it up NAGARAJ,gt hyundai dindigul service good keep it up nagaraj,positive
Madinaguda service center is excellent good staff .,madinaguda service center is excellent good staff .,positive
Today visit berhampore sn Hyundai excellent service,today visit berhampore sn hyundai excellent service,positive
Can I got personal loan I receive my salary in cash,can i got personal loan i receive my salary in cash,neutral
Paras hyundai Hanumangarh good service&Best faculty,paras hyundai hanumangarh good service best faculty,positive
